6361 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2000 sessionTimeout=20000 watcher=org.apache.storm.curator.ConnectionState@7c74ec
6368 [main-SendThread(0:0:0:0:0:0:0:1:2000)] INFO  org.apache.storm.zookeeper.ClientCnxn - Opening socket connection to server 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1:2000. Will not attempt to authenticate using SASL (unknown error)
6368 [main-SendThread(0:0:0:0:0:0:0:1:2000)] INFO  org.apache.storm.zookeeper.ClientCnxn - Socket connection established to 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1:2000, initiating session
6368 [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2000] INFO  org.apache.storm.zookeeper.server.NIOServerCnxnFactory - Accepted socket connection from /0:0:0:0:0:0:0:1:2855
6369 [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2000] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Client attempting to establish new session at /0:0:0:0:0:0:0:1:2855
6370 [SyncThread:0] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Established session 0x14fe6bc49550002 with negotiated timeout 20000 for client /0:0:0:0:0:0:0:1:2855
6370 [main-SendThread(0:0:0:0:0:0:0:1:2000)] INFO  org.apache.storm.zookeeper.ClientCnxn - Session establishment complete on server 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1:2000, sessionid = 0x14fe6bc49550002, negotiated timeout = 20000
6370 [main-EventThread] INFO  org.apache.storm.curator.framework.state.ConnectionStateManager - State change: CONNECTED
6371 [main-EventThread] INFO  backtype.storm.zookeeper - Zookeeper state update: :connected:none
6373 [ProcessThread(sid:0 cport:-1):] INFO  org.apache.storm.zookeeper.server.PrepRequestProcessor - Processed session termination for sessionid: 0x14fe6bc49550002
6375 [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2000] INFO  org.apache.storm.zookeeper.server.NIOServerCnxn - Closed socket connection for client /0:0:0:0:0:0:0:1:2855 which had sessionid 0x14fe6bc49550002
6375 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Session: 0x14fe6bc49550002 closed
6375 [main-EventThread] INFO  org.apache.storm.zookeeper.ClientCnxn - EventThread shut down
6375 [main] INFO  backtype.storm.utils.StormBoundedExponentialBackoffRetry - The baseSleepTimeMs [1000] the maxSleepTimeMs [30000] the maxRetries [5]
6376 [main] INFO  org.apache.storm.curator.framework.imps.CuratorFrameworkImpl - Starting
6376 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2000/storm sessionTimeout=20000 watcher=org.apache.storm.curator.ConnectionState@11a69eb
6378 [main] INFO  backtype.storm.utils.StormBoundedExponentialBackoffRetry - The baseSleepTimeMs [1000] the maxSleepTimeMs [30000] the maxRetries [5]
6378 [main-SendThread(validation.sls.microsoft.com:2000)] INFO  org.apache.storm.zookeeper.ClientCnxn - Opening socket connection to server validation.sls.microsoft.com/127.0.0.1:2000. Will not attempt to authenticate using SASL (unknown error)
6379 [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2000] INFO  org.apache.storm.zookeeper.server.NIOServerCnxnFactory - Accepted socket connection from /127.0.0.1:2858
6379 [main-SendThread(validation.sls.microsoft.com:2000)] INFO  org.apache.storm.zookeeper.ClientCnxn - Socket connection established to validation.sls.microsoft.com/127.0.0.1:2000, initiating session
6379 [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2000] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Client attempting to establish new session at /127.0.0.1:2858
6383 [main] INFO  org.apache.storm.curator.framework.imps.CuratorFrameworkImpl - Starting
6383 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2000 sessionTimeout=20000 watcher=org.apache.storm.curator.ConnectionState@1f7909f
6384 [SyncThread:0] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Established session 0x14fe6bc49550003 with negotiated timeout 20000 for client /127.0.0.1:2858
